Source;Target;Weight
Brockliss, Laurence;Robertson, Ritchie;18
Peslier, Bénédicte Peralez;de Reyniès, Justine;18
Burrows, Simon;Roe, Glenn;18
Armand, Guilhem;Meure, Chantale;18
Gainot, Bernard;Kaci, Maxime;18
Chrościcki, Juliusz A.;Hengerer, Mark;18
Capdeville, Valérie;Kerhervé, Alain;18
Donato, Clorinda;Lüsebrink, Hans-Jürgen;18
Roukhomovsky, Bernard;Roux, Sophie;17
Landié, Geneviève;Papin, Bernard;17
Gaillard, Aurélia;Goffi, Jean-Yves;17
Cénat, Jean-Philippe;Drévillon, Hervé;17
Gaillard, Aurélia;Roux, Sophie;17
Drévillon, Hervé;Fonck, Bertrand;17
Rieucau, Nicolas;la collaboration d’Emmanuelle de Champs, avec;17
Bustarret, Claire;Rieucau, Nicolas;17
Goffi, Jean-Yves;Roukhomovsky, Bernard;17
Braun, Theodore E. D.;McCarthy, John A.;17
Lozat, Mélanie;Petrella, Sara;17
Gaillard, Aurélia;Roukhomovsky, Bernard;17
Landié, Geneviève;Sebbah, Alain;17
Papin, Bernard;Sebbah, Alain;17
Goffi, Jean-Yves;Roux, Sophie;17
Ganofsky, Marine;Perras, Jean-Alexandre;17
Girard, Pierre;Leduc, Christian;17
Adrien, Muriel;Percival, Melissa;17
Plagnol-Diéval, Marie-Emmanuelle;Poirson, Martial;17
Niort, Jean-François;Régent, Frédéric;17
Régent, Frédéric;Serna, Pierre;17
Niort, Jean-François;Serna, Pierre;17
Lethuillier, Jean-Pierre;Parsis-Barubé, Odile;17
Houdard, Sophie;Jacques-Chaquin, Nicole;17
Berchtold, Jacques;Habib, Claude;17
Gilain, Christian;Guilbaud, Alexandre;17
Greilich, Susanne;Lüsebrink, Hans-Jürgen;17
Girard, Pierre;Rioux-Beaulne, Mitia;17
Bisset, Sophie;Felton, Marie-Claude;17
Poirson, Martial;Ramond, Catherine;17
Plagnol-Diéval, Marie-Emmanuelle;Ramond, Catherine;17
Cénat, Jean-Philippe;Fonck, Bertrand;17
Felton, Marie-Claude;Wolfe, Charles T.;17
Bisset, Sophie;Wolfe, Charles T.;17
Bustarret, Claire;la collaboration d’Emmanuelle de Champs, avec;17
Bénac-Giroux, Karine;Leichman, Jeffrey;17
Lasowski, Patrick Wald;Pujol, Stéphane;16
Lasowski, Patrick Wald;Pavy-Guilbert, Élise;16
Magnot, Florence;Salaün, Franck;16
Paschoud, Adrien;Pépin, François;16
Duflo, Colas;Magnot, Florence;16
André, Valérie;Couvreur, Manuel;16
Harder, Mette;Heuer, Jennifer Ngaire;16
Armenteros, Carolina;Lebrun, Richard A.;16
André, Valérie;Bernard, Bruno;16
Dagen, Jean;Escola, Marc;16
Pavy-Guilbert, Élise;Pujol, Stéphane;16
Escola, Marc;Rueff, Martin;16
Dagen, Jean;Rueff, Martin;16
Duflo, Colas;Salaün, Franck;16
Beaucé, Pauline;Rubellin, Françoise;16
Fourcade, Marie;Zupanov, Ines G.;16
Bertrand, Gilles;Mouren, Raphaële;16
Leclerc, Yvan;Poulouin, Claudine;16
Bernard, Bruno;Guri, Shipé;16
Bickerton, David;Proud, Judith;16
Leclerc, Yvan;Macé, Laurence;16
Macé, Laurence;Poulouin, Claudine;16
Brot, Muriel;Viselli, Sante A.;16
Cottret, Monique;Guittienne-Murger, Valérie;16
Bullard, Paddy;Tadié, Alexis;16
Bertrand, Gilles;Cayuela, Anne;16
Bertrand, Gilles;Vento, Christian Del;16
Seth, Catriona;von Kulessa, Rotraud;16
Cayuela, Anne;Vento, Christian Del;16
Mouren, Raphaële;Vento, Christian Del;16
Fornasiero, Jean;West-Sooby, John;16
Cayuela, Anne;Mouren, Raphaële;16
Legrand, Raphaëlle;Schang-Norbelly, Marie-Cécile;16
Bouvier, Pascal;Brunat, Éric;15
Méchoulan, Henry;Simonutti, Luisa;15
Poirrier, Philippe;Tillier, Bertrand;15
Arnould, Jean-Claude;Steinberg, Sylvie;15
Popkin, Richard H.;Ricuperati, Giuseppe;15
Antoine, François;Bernard, Bruno;15
Antoine, François;Galand, Michèle;15
Antoine, François;Heirwegh, Jean-Jacques;15
Baron, Konstanze;Fajen, Robert;15
Brunat, Éric;Clerc, Florence;15
Méchoulan, Henry;Ricuperati, Giuseppe;15
Barthélémy, Annie;Brunat, Éric;15
Bernard, Bruno;Heirwegh, Jean-Jacques;15
Méchoulan, Henry;Popkin, Richard H.;15
Galand, Michèle;Heirwegh, Jean-Jacques;15
Brunat, Éric;Kohlhauer, Michael;15
Bernard, Bruno;Galand, Michèle;15
Bisaro, Xavier;Clément, Gisèle;15
Billaud, Isabelle;Laperrière, Marie-Catherine;15
Fowler, James;Ganofsky, Marine;15
D’Hainaut-Zveny, Brigitte;Marx, Jacques;15
Charon, Annie;Juratic, Sabine;15
Charon, Annie;Pantin, Isabelle;15
Weltman-Aron, Brigitte;Westmoreland, Peter;15
Juratic, Sabine;Pantin, Isabelle;15
Andréani, Roland;Michel, Henri;15
Andréani, Roland;Pélaquier, Élie;15
Michel, Henri;Pélaquier, Élie;15
Ricuperati, Giuseppe;Simonutti, Luisa;15
Musso, Jean;Penel, Patrick;15
Andurand, Olivier;Pialoux, Albane;15
Houllemare, Marie;Roussel, Diane;15
Naugrette, Florence;Robardey-Eppstein, Sylviane;15
Chapron, Emmanuelle;Pugnière, François;15
Lignereux, Yann;Rousteau-Chambon, Hélène;15
Chedeville, Émilie;Jollet, Étienne;15
Chedeville, Émilie;Sourdin, Claire;15
Jollet, Étienne;Sourdin, Claire;15
Blanc, Judith le;Legrand, Raphaëlle;15
Blanc, Judith le;Schang-Norbelly, Marie-Cécile;15
Clément, Gisèle;Thoraval, Fañch;15
Bisaro, Xavier;Thoraval, Fañch;15
Habib, Claude;Manent, Pierre;15
Popkin, Richard H.;Simonutti, Luisa;15
Mostefai, Ourida;Westmoreland, Peter;15
Bournonville, Coralie;Faulot, Audrey;15
Ledbury, Mark;Wellington, Robert;15
Doig, Kathleen Hardesty;Medlin, Dorothy;15
Bernier, Marc André;Gladu, Kim;15
Gantet, Claire;Zedelmaier, Helmut;15
Décultot, Élisabeth;Pfeiffer, Helmut;15
Bernier, Marc André;Krief, Huguette;15
Cammagre, Geneviève;Talon-Hugon, Carole;15
Pfeiffer, Helmut;de Senarclens, Vanessa;15
Greenfield, Sayre;Milne, Anne;15
Duflo, Colas;Pelvilain, Sergine;15
Carey, Brycchan;Milne, Anne;15
Décultot, Élisabeth;de Senarclens, Vanessa;15
Bordas, Éric;Roulin, Jean-Marie;15
Duflo, Colas;Faulot, Audrey;15
Carey, Brycchan;Greenfield, Sayre;15
