;coeditor1;coeditor2;count
1414;Cammagre, Geneviève;Talon-Hugon, Carole;15
4082;Pfeiffer, Helmut;de Senarclens, Vanessa;15
1488;Greenfield, Sayre;Milne, Anne;15
1157;Duflo, Colas;Pelvilain, Sergine;15
1487;Carey, Brycchan;Milne, Anne;15
4083;Décultot, Élisabeth;de Senarclens, Vanessa;15
4313;Bordas, Éric;Roulin, Jean-Marie;15
1156;Duflo, Colas;Faulot, Audrey;15
1486;Carey, Brycchan;Greenfield, Sayre;15
4622;Poussou, Jean-Pierre;Vergé-Franceschi, Michel;15
1155;Bournonville, Coralie;Pelvilain, Sergine;15
4085;Philip, Laure;Reboul, Juliette;15
4343;Salaün, Franck;Taïeb, Patrick;15
4723;Mostefai, Ourida;Weltman-Aron, Brigitte;15
1158;Faulot, Audrey;Pelvilain, Sergine;15
2780;Gladu, Kim;Krief, Huguette;15
4888;Choudhury, Mira;Watkins, Daniel J.;14
3476;Parsis-Barubé, Odile;Vuillemin, Nathalie;14
3747;Edelstein, Dan;Matytsin, Anton M.;14
1865;Cossic-Péricarpin, Annick;Jones, Emrys D.;14
895;Biskup, Thomas;Pečar, Andreas;14
3276;Ottazzi, Alice;Tauziède-Espariat, Maël;14
3649;Magnot-Ogilvy, Florence;Poirson, Martial;14
166;Boulad-Ayoub, Josiane;Torero-Ibad, Alexandra;14
1701;Denis, Vincent;la collaboration de Vincent Milliot, avec;14
1698;Cicchini, Marco;Denis, Vincent;14
1352;Burkardt, Albrecht;Grévy, Jérôme;14
1827;Bonnet, Alain;Coquery, Natacha;14
2907;Guédron, Martial;Laboulais, Isabelle;14
4588;Loir, Christophe;Turcot, Laurent;14
2500;Delon, Michel;Farrugia, Guilhem;14
1702;Denis, Vincent;Porret, Michel;14
3958;Nemeth, Elisabeth;Roudet, Nicolas;14
1882;Coudreuse, Anne;Seth, Catriona;14
3274;Jouvet, Ludovic;Ottazzi, Alice;14
3275;Jouvet, Ludovic;Tauziède-Espariat, Maël;14
1759;Coignard, Tristan;Spector, Céline;14
837;Bethume, Kim;Huys, Jean-Philippe;14
64;Alfani, Guido;Robin, Isabelle;14
65;Gourdon, Vincent;Robin, Isabelle;14
3189;Igalens, Jean-Christophe;Leborgne, Érik;14
